Product,Category,Quantity,Date,Unit_Price,Amount,Channel,Customer_Name,Sex
Phone Charger,Electronics,5,2024-05-05,2500,12500,Online,Awah Mary,Male
Face Cream,Cosmetics,10,2024-08-04,3500,35000,Online,Ngozi Fatima,Male
Cooking Oil,Groceries,9,2024-11-04,2000,18000,Onsite,Ambe John,Male
Flour,Groceries,10,2024-05-22,1800,18000,Onsite,Ambe John,Male
Dress,Clothing,3,2024-04-20,7500,22500,Online,Mbarga Felix,Male
Notebook,Stationery,6,2024-06-25,500,3000,Online,Obi Stella,Female
Calculator,Stationery,2,2024-07-12,5000,10000,Onsite,Tabi Ernest,Female
Hair Oil,Cosmetics,2,2024-01-24,2500,5000,Online,Awah Mary,Female
Rice (5Kg),Groceries,7,2024-05-22,3500,24500,Online,Besong Eric,Female
Dress,Clothing,4,2024-12-09,7500,30000,Online,Tita George,Male
Hair Oil,Cosmetics,3,2024-08-24,2500,7500,Online,Agbor Samuel,Female
T-Shirt,Clothing,4,2024-01-17,3000,12000,Onsite,Mbarga Felix,Female
Earphones,Electronics,10,2024-06-10,3000,30000,Onsite,Nkeng Paul,Female
Pen Set,Stationery,5,2024-03-12,800,4000,Onsite,Awah Mary,Female
Perfume,Cosmetics,6,2024-04-22,8000,48000,Online,Fon Peter,Female
Phone Charger,Electronics,3,2024-11-17,2500,7500,Online,Bih Sandra,Female
Printer Paper,Stationery,10,2024-08-27,3000,30000,Online,Mbom David,Female
Bluetooth Speaker,Electronics,5,2024-11-24,20000,100000,Onsite,Mbarga Felix,Male
Pen Set,Stationery,8,2024-01-02,800,6400,Online,Tita George,Male
Cap,Clothing,10,2024-04-11,2000,20000,Online,Fon Peter,Female
Lotion,Cosmetics,1,2024-11-02,1800,1800,Online,Mbarga Felix,Female
Usb Cable,Electronics,5,2024-05-02,1500,7500,Online,Ngozi Fatima,Male
Power Bank,Electronics,2,2024-09-29,15000,30000,Onsite,Fon Peter,Male
Hair Oil,Cosmetics,5,2024-09-27,2500,12500,Online,Obi Stella,Female
Hair Oil,Cosmetics,5,2024-07-23,2500,12500,Onsite,Eyong Rita,Female
Earphones,Electronics,4,2024-02-02,3000,12000,Online,Mbarga Felix,Male
Hair Oil,Cosmetics,1,2024-02-06,2500,2500,Online,Ngozi Fatima,Male
